SWPROT,Gene,description,AverageFC_Vehicle,AverageFC_LPSLPS,LPSLPS_Log2FC,pvalue_ttest1
Q9Y2K1,ZBTB1,Zinc finger and BTB domain-containing protein 1,19.94,19.715,-0.225,0.099230065
P49366,DHPS,Deoxyhypusine synthase,17.9675,17.6625,-0.305,0.099226293
P11161,EGR2,E3 SUMO-protein ligase EGR2,21.32,20.96,-0.36,0.099159988
Q9BPW9,DHRS9,Dehydrogenase/reductase SDR family member 9,20.4225,19.375,-1.0475,0.099030084
P17568,NDUFB7,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 7,17.3675,17.295,-0.0725,0.098931594
P24557,TBXAS1,Thromboxane-A synthase,23.1025,22.9525,-0.15,0.098791171
Q96GC5,MRPL48,"39S ribosomal protein L48, mitochondrial",18.6275,18.4775,-0.15,0.098791171
Q12933,TRAF2,TNF receptor-associated factor 2,18.19,18.0125,-0.1775,0.098762339
Q9BYD2,MRPL9,"39S ribosomal protein L9, mitochondrial",20.2575,20.09,-0.1675,0.09874236
O60637,TSPAN3,Tetraspanin-3,17.64,17.54,-0.1,0.098681391
Q96I59,NARS2,"Probable asparagine--tRNA ligase, mitochondrial",19,18.9425,-0.0575,0.098675787
P15559,NQO1,NAD(P)H dehydrogenase [quinone] 1,21.3775,21.6275,0.25,0.098404645
Q9BX59,TAPBPL,Tapasin-related protein,18.655,18.515,-0.14,0.098318285
Q9UL25,RAB21,Ras-related protein Rab-21,21.6275,21.575,-0.0525,0.098262228
Q86W92,PPFIBP1,Liprin-beta-1,19.7225,19.3375,-0.385,0.097913712
Q9BXW6,OSBPL1A,Oxysterol-binding protein-related protein 1,20.8025,20.7325,-0.07,0.097813565
P42677,RPS27,40S ribosomal protein S27,22.395,22.2675,-0.1275,0.097728137
O94822,LTN1,E3 ubiquitin-protein ligase listerin,20.3625,20.235,-0.1275,0.097728137
Q96AG4,LRRC59,Leucine-rich repeat-containing protein 59,23.1475,23.03,-0.1175,0.097712976
Q9Y2V2,CARHSP1,Calcium-regulated heat stable protein 1,21.0825,20.9075,-0.175,0.097651956
Q96DI7,SNRNP40,U5 small nuclear ribonucleoprotein 40 kDa protein,22.2375,22.085,-0.1525,0.097632234
P48382,RFX5,DNA-binding protein RFX5,18.9125,18.66,-0.2525,0.097623846
Q07817,BCL2L1,Bcl-2-like protein 1,18.53,18.445,-0.085,0.097575887
Q13496,MTM1,Myotubularin,19.7575,19.57,-0.1875,0.097331468
Q93100,PHKB,Phosphorylase b kinase regulatory subunit beta,21.285,21.1525,-0.1325,0.097285525
Q9H9F9,ACTR5,Actin-related protein 5,16.3525,16.0175,-0.335,0.097243632
Q92572,AP3S1,AP-3 complex subunit sigma-1,20.055,19.8575,-0.1975,0.09716137
Q96DV4,MRPL38,"39S ribosomal protein L38, mitochondrial",19.37,19.1525,-0.2175,0.097049293
P33908,MAN1A1,"Mannosyl-oligosaccharide 1,2-alpha-mannosidase IA",18.86,18.4325,-0.4275,0.096779364
O15382,BCAT2,"Branched-chain-amino-acid aminotransferase, mitochondrial",22.165,22.055,-0.11,0.096660552
Q9UEW8,STK39,STE20/SPS1-related proline-alanine-rich protein kinase,20.64,20.495,-0.145,0.096577702
Q14344,GNA13,Guanine nucleotide-binding protein subunit alpha-13,22.72,22.5,-0.22,0.096455598
Q6QNY1,BLOC1S2,Biogenesis of lysosome-related organelles complex 1 subunit 2,19.985,19.8,-0.185,0.096451555
Q9Y237,PIN4,Peptidyl-prolyl cis-trans isomerase NIMA-interacting 4,19.835,19.645,-0.19,0.096413007
Q8TDB6,DTX3L,E3 ubiquitin-protein ligase DTX3L,21.25,21.0525,-0.1975,0.096398738
Q9H974,QTRTD1,Queuine tRNA-ribosyltransferase subunit QTRTD1,21.0825,20.9075,-0.175,0.09635736
Q6VEQ5,WASH2P,WAS protein family homolog 2,20.04,19.86,-0.18,0.096334107
Q9BY49,PECR,Peroxisomal trans-2-enoyl-CoA reductase,20.085,19.9725,-0.1125,0.096297351
O75179,ANKRD17,Ankyrin repeat domain-containing protein 17,18.435,18.225,-0.21,0.096240337
Q9NTM9,CUTC,Copper homeostasis protein cutC homolog,18.895,18.76,-0.135,0.096232001
P15954,COX7C,"Cytochrome c oxidase subunit 7C, mitochondrial",19.39,19.115,-0.275,0.096102899
Q9Y5J1,UTP18,U3 small nucleolar RNA-associated protein 18 homolog,19.475,19.1525,-0.3225,0.095967731
Q96DF8,DGCR14,Protein DGCR14,17.0775,16.88,-0.1975,0.095889733
O60711,LPXN,Leupaxin,24.14,23.955,-0.185,0.095871459
Q9UBI1,COMMD3,COMM domain-containing protein 3,20.3275,20.1525,-0.175,0.095708925
Q6P4A8,PLBD1,Phospholipase B-like 1,23.3375,23.1775,-0.16,0.095615777
Q8IWA0,WDR75,WD repeat-containing protein 75,19.095,18.82,-0.275,0.095577538
O76071,CIAO1,Probable cytosolic iron-sulfur protein assembly protein CIAO1,20.4875,20.3225,-0.165,0.095475328
Q9UKB1,FBXW11,F-box/WD repeat-containing protein 11,19.08,18.8375,-0.2425,0.095335436
Q9Y673,ALG5,Dolichyl-phosphate beta-glucosyltransferase,19.9125,19.7625,-0.15,0.095267199
Q15208,STK38,Serine/threonine-protein kinase 38,21.0375,20.845,-0.1925,0.095169777
Q9BTY7,HGH1,Protein HGH1 homolog,17.635,17.3825,-0.2525,0.09513363
Q9BYJ9,YTHDF1,YTH domain-containing family protein 1,16.915,16.7275,-0.1875,0.09507273
O15234,CASC3,Protein CASC3,17.8725,17.6225,-0.25,0.09507273
Q9Y394,DHRS7,Dehydrogenase/reductase SDR family member 7,22.7125,22.65,-0.0625,0.09507273
Q99417,MYCBP,C-Myc-binding protein,21.3225,21.1475,-0.175,0.095059739
Q13630,TSTA3,GDP-L-fucose synthase,20.4525,20.32,-0.1325,0.09502378
Q9GZU8,FAM192A,Protein FAM192A,20.815,20.5875,-0.2275,0.09496172
Q96A35,MRPL24,"39S ribosomal protein L24, mitochondrial",19.355,19.145,-0.21,0.094888302
P49917,LIG4,DNA ligase 4,20.485,20.3025,-0.1825,0.094810355
Q9Y2X7,GIT1,ARF GTPase-activating protein GIT1,20.295,20.1075,-0.1875,0.094789747
Q9NPG3,UBN1,Ubinuclein-1,17.1125,17.0125,-0.1,0.094714556
Q6R327,RICTOR,Rapamycin-insensitive companion of mTOR,19.1025,19.0025,-0.1,0.094714556
Q14839,CHD4,Chromodomain-helicase-DNA-binding protein 4,25.0125,24.8125,-0.2,0.094714556
P41236,PPP1R2,Protein phosphatase inhibitor 2,20.1775,20.035,-0.1425,0.094332444
P48509,CD151,CD151 antigen,20.0075,19.345,-0.6625,0.094320788
Q9P0N9,TBC1D7,TBC1 domain family member 7,18.3725,18.2775,-0.095,0.09420982
P20160,AZU1,Azurocidin,20.51,20.06,-0.45,0.094185973
Q8IUR7,ARMC8,Armadillo repeat-containing protein 8,21.45,21.2075,-0.2425,0.094150812
Q6QNY0,BLOC1S3,Biogenesis of lysosome-related organelles complex 1 subunit 3,18.54,18.2725,-0.2675,0.094066835
Q9NRV9,HEBP1,Heme-binding protein 1,22.4225,22.16,-0.2625,0.093939955
Q9Y4E6,WDR7,WD repeat-containing protein 7,19.9525,19.785,-0.1675,0.093789958
Q96HQ2,CDKN2AIPNL,CDKN2AIP N-terminal-like protein,18.845,18.6825,-0.1625,0.093730247
Q9NR50,EIF2B3,Translation initiation factor eIF-2B subunit gamma,20.225,20.02,-0.205,0.093681677
Q8TEK3,DOT1L,"Histone-lysine N-methyltransferase, H3 lysine-79 specific",19.22,18.91,-0.31,0.093591869
P07992,ERCC1,DNA excision repair protein ERCC-1,18.7475,18.5125,-0.235,0.093574911
Q15025,TNIP1,TNFAIP3-interacting protein 1,19.6525,19.935,0.2825,0.093262455
P60484,PTEN,"Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN",19.9225,19.75,-0.1725,0.09300143
Q69YN4,KIAA1429,Protein virilizer homolog,20.765,20.635,-0.13,0.092903787
P17050,NAGA,Alpha-N-acetylgalactosaminidase,18.6175,18.38,-0.2375,0.09283957
Q9HCN8,SDF2L1,Stromal cell-derived factor 2-like protein 1,19.675,19.455,-0.22,0.09275364
Q15047,SETDB1,Histone-lysine N-methyltransferase SETDB1,18.245,18.0775,-0.1675,0.092723074
Q16822,PCK2,"Phosphoenolpyruvate carboxykinase [GTP], mitochondrial",22.625,22.3575,-0.2675,0.092672737
Q9Y697,NFS1,"Cysteine desulfurase, mitochondrial",20.185,20.0625,-0.1225,0.092595416
P63167,DYNLL1,"Dynein light chain 1, cytoplasmic",20.905,20.63,-0.275,0.092547278
Q96A49,SYAP1,Synapse-associated protein 1,21.8475,21.64,-0.2075,0.092374201
O00330,PDHX,"Pyruvate dehydrogenase protein X component, mitochondrial",21.045,20.9325,-0.1125,0.09236297
Q9UL26,RAB22A,Ras-related protein Rab-22A,19.5575,19.4925,-0.065,0.092312745
Q14061,COX17,Cytochrome c oxidase copper chaperone,18.815,18.61,-0.205,0.092256457
O15389,SIGLEC5,Sialic acid-binding Ig-like lectin 5,17.2475,17.4875,0.24,0.092241903
O94992,HEXIM1,Protein HEXIM1,21.0675,20.8275,-0.24,0.092241903
P05120,SERPINB2,Plasminogen activator inhibitor 2,25.8025,27.545,1.7425,0.0922293
Q96PU8,QKI,Protein quaking,22.2275,22.0675,-0.16,0.092111748
P20036,HLA-DPA1,"HLA class II histocompatibility antigen, DP alpha 1 chain",20.0325,19.93,-0.1025,0.092018586
Q14849,STARD3,StAR-related lipid transfer protein 3,17.875,17.6675,-0.2075,0.091909857
P78382,SLC35A1,CMP-sialic acid transporter,20.1475,20.0125,-0.135,0.09185832
Q9BW27,NUP85,Nuclear pore complex protein Nup85,19.9075,19.7975,-0.11,0.091721113
Q7Z3J2,C16orf62,UPF0505 protein C16orf62,22.12,22,-0.12,0.091721113
Q9Y315,DERA,Deoxyribose-phosphate aldolase,21.4725,21.3325,-0.14,0.091721113
Q9UPN6,SCAF8,Protein SCAF8,20.3175,20.2075,-0.11,0.091721113
O00421,CCRL2,C-C chemokine receptor-like 2,20.1325,20.02,-0.1125,0.091572895
O75792,RNASEH2A,Ribonuclease H2 subunit A,21.6125,21.52,-0.0925,0.091501858
Q96PP9,GBP4,Guanylate-binding protein 4,19.4475,19.255,-0.1925,0.091400456
P13284,IFI30,Gamma-interferon-inducible lysosomal thiol reductase,23.705,23.1625,-0.5425,0.091391744
P63000,RAC1,Ras-related C3 botulinum toxin substrate 1,23.0075,22.8725,-0.135,0.091309305
Q9BRX8,FAM213A,Redox-regulatory protein FAM213A,19.6075,19.12,-0.4875,0.091292144
P62316,SNRPD2,Small nuclear ribonucleoprotein Sm D2,23.005,22.795,-0.21,0.091267268
P16333,NCK1,Cytoplasmic protein NCK1,21.345,21.1875,-0.1575,0.091040218
Q712K3,UBE2R2,Ubiquitin-conjugating enzyme E2 R2,20.1725,19.925,-0.2475,0.091036881
Q9Y5T5,USP16,Ubiquitin carboxyl-terminal hydrolase 16,20.0525,19.8225,-0.23,0.090964229
P18847,ATF3,Cyclic AMP-dependent transcription factor ATF-3,21.8575,21.44,-0.4175,0.09076265
Q9UQN3,CHMP2B,Charged multivesicular body protein 2b,21.6425,21.5425,-0.1,0.090719932
Q9UBX3,SLC25A10,Mitochondrial dicarboxylate carrier,20.6525,20.57,-0.0825,0.090709811
Q9NTJ3,SMC4,Structural maintenance of chromosomes protein 4,21.61,21.5325,-0.0775,0.090574984
P38432,COIL,Coilin,20.1325,19.905,-0.2275,0.090524001
Q8ND82,ZNF280C,Zinc finger protein 280C,18.1,17.9025,-0.1975,0.090517764
P51571,SSR4,Translocon-associated protein subunit delta,22.7675,22.57,-0.1975,0.090260742
Q7Z5L2,R3HCC1L,Coiled-coil domain-containing protein R3HCC1L,18.8175,18.6775,-0.14,0.090188025
O95251,KAT7,Histone acetyltransferase KAT7,19.43,19.3275,-0.1025,0.090112229
Q9P000,COMMD9,COMM domain-containing protein 9,20.37,20.1675,-0.2025,0.090087492
P56277,CMC4,Cx9C motif-containing protein 4,18.34,18.0925,-0.2475,0.090055147
P06280,GLA,Alpha-galactosidase A,21.1325,20.725,-0.4075,0.090020668
Q5JTJ3,COA6,Cytochrome c oxidase assembly factor 6 homolog,20.6975,20.2875,-0.41,0.089933203
O00233,PSMD9,26S proteasome non-ATPase regulatory subunit 9,21.405,21.2525,-0.1525,0.089917211
P20936,RASA1,Ras GTPase-activating protein 1,18.245,17.995,-0.25,0.089797395
O75153,CLUH,Clustered mitochondria protein homolog,21.33,20.9775,-0.3525,0.08960917
Q0VGL1,LAMTOR4,Ragulator complex protein LAMTOR4,19.535,19.3525,-0.1825,0.089407788
O95394,PGM3,Phosphoacetylglucosamine mutase,21.285,21.125,-0.16,0.089372015
O75582,RPS6KA5,Ribosomal protein S6 kinase alpha-5,17.63,17.4575,-0.1725,0.089300002
Q5TZA2,CROCC,Rootletin,18.785,18.695,-0.09,0.089246092
Q14257,RCN2,Reticulocalbin-2,19.8675,19.565,-0.3025,0.089235844
P57772,EEFSEC,Selenocysteine-specific elongation factor,21.5375,21.4,-0.1375,0.089235844
P16930,FAH,Fumarylacetoacetase,21.37,21.2875,-0.0825,0.089235844
Q9P2K8,EIF2AK4,Eukaryotic translation initiation factor 2-alpha kinase 4,18.81,18.6575,-0.1525,0.089053783
P19367,HK1,Hexokinase-1,24.8275,24.75,-0.0775,0.088904067
Q96EP5,DAZAP1,DAZ-associated protein 1,21.755,21.59,-0.165,0.088866808
Q14671,PUM1,Pumilio homolog 1,19.47,19.2675,-0.2025,0.088618132
P45974,USP5,Ubiquitin carboxyl-terminal hydrolase 5,23.445,23.3325,-0.1125,0.088402339
Q9H3K2,GHITM,Growth hormone-inducible transmembrane protein,21.525,21.3675,-0.1575,0.088207702
Q6PD74,AAGAB,Alpha- and gamma-adaptin-binding protein p34,18.3975,18.19,-0.2075,0.088182328
P61457,PCBD1,Pterin-4-alpha-carbinolamine dehydratase,18.3175,18.1775,-0.14,0.088137993
Q12851,MAP4K2,Mitogen-activated protein kinase kinase kinase kinase 2,17.06,16.935,-0.125,0.088028746
Q00013,MPP1,55 kDa erythrocyte membrane protein,21.105,20.8075,-0.2975,0.08801542
Q9Y2H1,STK38L,Serine/threonine-protein kinase 38-like,19.2425,18.805,-0.4375,0.087963025
P47897,QARS,Glutamine--tRNA ligase,23.2725,23.08,-0.1925,0.087879152
Q8ND56,LSM14A,Protein LSM14 homolog A,20.81,20.65,-0.16,0.087801029
P78318,IGBP1,Immunoglobulin-binding protein 1,20.8925,20.645,-0.2475,0.087758418
Q86UE4,MTDH,Protein LYRIC,23.8375,23.67,-0.1675,0.087719207
Q9Y5B6,PAXBP1,PAX3- and PAX7-binding protein 1,19.535,19.3675,-0.1675,0.087719207
Q13823,GNL2,Nucleolar GTP-binding protein 2,20.135,19.895,-0.24,0.087713639
Q9H6Y2,WDR55,WD repeat-containing protein 55,18.555,18.2375,-0.3175,0.087670191
Q9UEE9,CFDP1,Craniofacial development protein 1,18.7425,18.5425,-0.2,0.087454896
Q9HCD5,NCOA5,Nuclear receptor coactivator 5,20.6775,20.4775,-0.2,0.087454896
P49593,PPM1F,Protein phosphatase 1F,20.805,20.675,-0.13,0.086967505
O15162,PLSCR1,Phospholipid scramblase 1,20.425,20.2375,-0.1875,0.086811093
Q8WZ73,RFFL,E3 ubiquitin-protein ligase rififylin,19.17,19.245,0.075,0.086811093
Q8WUI4,HDAC7,Histone deacetylase 7,17.955,17.77,-0.185,0.086805856
A3KMH1,VWA8,von Willebrand factor A domain-containing protein 8,20.04,19.855,-0.185,0.086805856
Q9P0J7,KCMF1,E3 ubiquitin-protein ligase KCMF1,18.3375,18.2275,-0.11,0.086740729
Q587I9,SFT2D3,Vesicle transport protein SFT2C,17.615,17.3975,-0.2175,0.086478545
P52292,KPNA2,Importin subunit alpha-1,21.075,20.79,-0.285,0.086433654
Q6UX71,PLXDC2,Plexin domain-containing protein 2,19.3625,18.8,-0.5625,0.086141622
Q68CP9,ARID2,AT-rich interactive domain-containing protein 2,19.2925,19.2325,-0.06,0.086138631
Q96C23,GALM,Aldose 1-epimerase,20.0975,19.885,-0.2125,0.086116127
Q6ZVM7,TOM1L2,TOM1-like protein 2,19.1925,18.925,-0.2675,0.086077415
Q9UK23,NAGPA,N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase,17.5575,17.3525,-0.205,0.0860419
Q9Y5B0,CTDP1,RNA polymerase II subunit A C-terminal domain phosphatase,20.985,20.8475,-0.1375,0.086040392
Q9UHD1,CHORDC1,Cysteine and histidine-rich domain-containing protein 1,22.9025,22.8475,-0.055,0.085906911
O14979,HNRNPDL,Heterogeneous nuclear ribonucleoprotein D-like,23.71,23.4975,-0.2125,0.085892592
Q5SRE5,NUP188,Nucleoporin NUP188 homolog,20.5,20.3025,-0.1975,0.085875361
Q8N5U6,RNF10,RING finger protein 10,18.0425,17.8825,-0.16,0.085831948
Q9UNI6,DUSP12,Dual specificity protein phosphatase 12,17.555,17.395,-0.16,0.085831948
Q9HCK8,CHD8,Chromodomain-helicase-DNA-binding protein 8,19.7325,19.415,-0.3175,0.085769713
Q9Y3D7,PAM16,Mitochondrial import inner membrane translocase subunit TIM16,19.135,18.9025,-0.2325,0.085549121
P30837,ALDH1B1,"Aldehyde dehydrogenase X, mitochondrial",19.7575,19.595,-0.1625,0.085367194
Q15836,VAMP3,Vesicle-associated membrane protein 3,20.39,20.1925,-0.1975,0.085357507
Q9NYJ8,TAB2,TGF-beta-activated kinase 1 and MAP3K7-binding protein 2,18.61,18.355,-0.255,0.08526506
O75909,CCNK,Cyclin-K,18.9625,18.81,-0.1525,0.085154002
Q92785,DPF2,Zinc finger protein ubi-d4,21.03,20.8325,-0.1975,0.085098434
Q12981,BNIP1,Vesicle transport protein SEC20,20.725,20.52,-0.205,0.085080514
P62873,GNB1,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1,23.83,23.72,-0.11,0.085072066
Q6NUT3,MFSD12,Major facilitator superfamily domain-containing protein 12,19.32,18.4775,-0.8425,0.084981007
Q9BPZ7,MAPKAP1,Target of rapamycin complex 2 subunit MAPKAP1,18.54,18.33,-0.21,0.084878828
Q9HCE0,EPG5,Ectopic P granules protein 5 homolog,18.3575,18.1925,-0.165,0.084793559
O94788,ALDH1A2,Retinal dehydrogenase 2,18.595,17.815,-0.78,0.084760455
P43378,PTPN9,Tyrosine-protein phosphatase non-receptor type 9,20.965,20.8275,-0.1375,0.084436907
Q15651,HMGN3,High mobility group nucleosome-binding domain-containing protein 3,21.225,21.0875,-0.1375,0.084436907
Q9C0B1,FTO,Alpha-ketoglutarate-dependent dioxygenase FTO,19.9375,19.735,-0.2025,0.084436825
Q92974,ARHGEF2,Rho guanine nucleotide exchange factor 2,23.8875,23.635,-0.2525,0.084432133
Q9BRP8,WIBG,Partner of Y14 and mago,19.0975,18.9625,-0.135,0.08412836
O95551,TDP2,Tyrosyl-DNA phosphodiesterase 2,18.09,17.9375,-0.1525,0.083849058
Q5T8P6,RBM26,RNA-binding protein 26,21,20.765,-0.235,0.083746117
Q9UI09,NDUFA12,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12,20.9375,20.8325,-0.105,0.083731563
Q8N884,MB21D1,Cyclic GMP-AMP synthase,19.3275,19.22,-0.1075,0.083717653
Q5HYJ3,FAM76B,Protein FAM76B,19.7875,19.6425,-0.145,0.08370098
Q5TFE4,NT5DC1,5'-nucleotidase domain-containing protein 1,20.015,19.9175,-0.0975,0.08357936
O15173,PGRMC2,Membrane-associated progesterone receptor component 2,20.825,20.6625,-0.1625,0.083451485
Q9UBB6,NCDN,Neurochondrin,19.115,18.9125,-0.2025,0.083449263
Q9Y2J2,EPB41L3,Band 4.1-like protein 3,22.63,22.88,0.25,0.083343092
P46013,MKI67,Antigen KI-67,19.49,19.2375,-0.2525,0.083320477
Q9BXI6,TBC1D10A,TBC1 domain family member 10A,18.64,18.5575,-0.0825,0.08330632
Q00765,REEP5,Receptor expression-enhancing protein 5,23.18,22.885,-0.295,0.083302899
Q9BT23,LIMD2,LIM domain-containing protein 2,19.64,19.455,-0.185,0.083261731
Q9UNX4,WDR3,WD repeat-containing protein 3,19.4825,19.1525,-0.33,0.083213265
Q9Y530,OARD1,O-acetyl-ADP-ribose deacetylase 1,18.5125,18.395,-0.1175,0.083195781
Q8NDF8,PAPD5,Non-canonical poly(A) RNA polymerase PAPD5,19.6075,19.335,-0.2725,0.08287814
Q92636,NSMAF,Protein FAN,20.165,19.985,-0.18,0.082703834
O15235,MRPS12,"28S ribosomal protein S12, mitochondrial",19.46,19.2925,-0.1675,0.08267657
Q8IVH8,MAP4K3,Mitogen-activated protein kinase kinase kinase kinase 3,18.87,18.5325,-0.3375,0.082549401
Q9NX40,OCIAD1,OCIA domain-containing protein 1,21.3,21.055,-0.245,0.082361806
P27707,DCK,Deoxycytidine kinase,22.8875,22.8025,-0.085,0.08230624
P41227,NAA10,N-alpha-acetyltransferase 10,21.57,21.315,-0.255,0.08230624
Q96PE3,INPP4A,"Type I inositol 3,4-bisphosphate 4-phosphatase",20.4575,20.32,-0.1375,0.08229324
P02545,LMNA,Prelamin-A/C,24.9725,24.3375,-0.635,0.082229872
Q8NBM4,UBAC2,Ubiquitin-associated domain-containing protein 2,17.735,17.51,-0.225,0.082215381
P01583,IL1A,Interleukin-1 alpha,22.775,23.8775,1.1025,0.082180231
Q8TF40,FNIP1,Folliculin-interacting protein 1,18.105,18.0275,-0.0775,0.082177624
P46060,RANGAP1,Ran GTPase-activating protein 1,22.7825,22.625,-0.1575,0.082096733
Q02127,DHODH,"Dihydroorotate dehydrogenase (quinone), mitochondrial",20.3675,20.2175,-0.15,0.081864498
O95758,PTBP3,Polypyrimidine tract-binding protein 3,20.65,20.375,-0.275,0.081756342
Q6PCB7,SLC27A1,Long-chain fatty acid transport protein 1,19.8125,19.615,-0.1975,0.081721831
O00175,CCL24,C-C motif chemokine 24,20.6425,19.8775,-0.765,0.081612379
Q9Y618,NCOR2,Nuclear receptor corepressor 2,20.2725,20.1025,-0.17,0.081603701
O60337,42068,E3 ubiquitin-protein ligase MARCH6,16.9175,16.63,-0.2875,0.081327766
Q8N5C6,SRBD1,S1 RNA-binding domain-containing protein 1,19.2475,19.1025,-0.145,0.081288558
Q6WKZ4,RAB11FIP1,Rab11 family-interacting protein 1,21.2625,21.0025,-0.26,0.08112787
P36954,POLR2I,DNA-directed RNA polymerase II subunit RPB9,15.9075,15.7575,-0.15,0.08096148
P19784,CSNK2A2,Casein kinase II subunit alpha',22.0175,21.93,-0.0875,0.08093382
P11171,EPB41,Protein 4.1,21.1675,20.9925,-0.175,0.08093382
Q14141,42252,Septin-6,23.0525,22.9125,-0.14,0.080913074
O43815,STRN,Striatin,22.03,21.89,-0.14,0.080913074
P01011,SERPINA3,Alpha-1-antichymotrypsin,20.6575,20.5725,-0.085,0.080900511
P53007,SLC25A1,"Tricarboxylate transport protein, mitochondrial",21.74,21.6475,-0.0925,0.080889206
Q86UX7,FERMT3,Fermitin family homolog 3,26.4125,26.2075,-0.205,0.080738113
Q8WUH6,TMEM263,Transmembrane protein 263,17.08,16.9475,-0.1325,0.080694615
Q14004,CDK13,Cyclin-dependent kinase 13,19.1925,18.9025,-0.29,0.080684241
Q9NVH2,INTS7,Integrator complex subunit 7,20.505,20.335,-0.17,0.080548676
P55036,PSMD4,26S proteasome non-ATPase regulatory subunit 4,22.4625,22.2725,-0.19,0.080540877
A8CG34,POM121C,Nuclear envelope pore membrane protein POM 121C,20.0925,19.89,-0.2025,0.080478569
Q75QN2,INTS8,Integrator complex subunit 8,18.125,17.9525,-0.1725,0.080466846
P09104,ENO2,Gamma-enolase,19.0575,18.9,-0.1575,0.080048175
P52756,RBM5,RNA-binding protein 5,21.3675,21.2625,-0.105,0.080048175
Q9NPH3,IL1RAP,Interleukin-1 receptor accessory protein,19.4675,18.9875,-0.48,0.079979663
P43490,NAMPT,Nicotinamide phosphoribosyltransferase,25.695,26.635,0.94,0.079804548
O95983,MBD3,Methyl-CpG-binding domain protein 3,17.3825,17.11,-0.2725,0.079731126
O15127,SCAMP2,Secretory carrier-associated membrane protein 2,20.9625,20.7025,-0.26,0.079623056
P49407,ARRB1,Beta-arrestin-1,22.1125,21.975,-0.1375,0.079604981
P01903,HLA-DRA,"HLA class II histocompatibility antigen, DR alpha chain",24.4825,24.24,-0.2425,0.079584202
P08047,SP1,Transcription factor Sp1,19.77,19.5375,-0.2325,0.079544701
P49750,YLPM1,YLP motif-containing protein 1,21.3525,21.22,-0.1325,0.079535379
Q9H3H3,C11orf68,UPF0696 protein C11orf68,18.375,18.2575,-0.1175,0.079516473
Q9UGP4,LIMD1,LIM domain-containing protein 1,19.3325,19.0975,-0.235,0.079516473
P78344,EIF4G2,Eukaryotic translation initiation factor 4 gamma 2,24.225,23.9375,-0.2875,0.079481781
P46952,HAAO,"3-hydroxyanthranilate 3,4-dioxygenase",19.5125,19.345,-0.1675,0.079416236
P48735,IDH2,"Isocitrate dehydrogenase [NADP], mitochondrial",24.91,24.84,-0.07,0.079355577
Q5VUA4,ZNF318,Zinc finger protein 318,19.4575,19.3875,-0.07,0.079355577
Q9Y5M8,SRPRB,Signal recognition particle receptor subunit beta,24.225,23.8625,-0.3625,0.079294969
Q9H269,VPS16,Vacuolar protein sorting-associated protein 16 homolog,21.6175,21.415,-0.2025,0.079237392
Q9Y4C8,RBM19,Probable RNA-binding protein 19,19.95,19.6575,-0.2925,0.079185942
Q8IXM3,MRPL41,"39S ribosomal protein L41, mitochondrial",19.48,19.265,-0.215,0.079102587
Q9P0U4,CXXC1,CXXC-type zinc finger protein 1,18.925,18.7525,-0.1725,0.079098374
Q9UPU7,TBC1D2B,TBC1 domain family member 2B,18.955,18.83,-0.125,0.078953044
P31150,GDI1,Rab GDP dissociation inhibitor alpha,22.5575,22.415,-0.1425,0.078942806
Q9Y324,FCF1,rRNA-processing protein FCF1 homolog,18.245,17.9275,-0.3175,0.07892591
Q9ULH0,KIDINS220,Kinase D-interacting substrate of 220 kDa,19.2375,19.01,-0.2275,0.078801893
P08240,SRPR,Signal recognition particle receptor subunit alpha,23.345,23.09,-0.255,0.078708778
Q8IUD2,ERC1,ELKS/Rab6-interacting/CAST family member 1,20.9775,20.8175,-0.16,0.078697603
Q8IZQ1,WDFY3,WD repeat and FYVE domain-containing protein 3,19.3925,19.165,-0.2275,0.078604938
Q86UE8,TLK2,Serine/threonine-protein kinase tousled-like 2,18.9475,18.845,-0.1025,0.078557596
O95149,SNUPN,Snurportin-1,18.6325,18.47,-0.1625,0.07844734
Q02750,MAP2K1,Dual specificity mitogen-activated protein kinase kinase 1,23.335,23.2375,-0.0975,0.078232785
Q9BW91,NUDT9,"ADP-ribose pyrophosphatase, mitochondrial",20.265,20.0375,-0.2275,0.078013795
Q16222,UAP1,UDP-N-acetylhexosamine pyrophosphorylase,18.935,18.6975,-0.2375,0.077978695
Q9UGP8,SEC63,Translocation protein SEC63 homolog,22.8475,22.6725,-0.175,0.077940859
P02795,MT2A,Metallothionein-2,18.68,17.985,-0.695,0.077893146
Q9NZ08,ERAP1,Endoplasmic reticulum aminopeptidase 1,24.2175,23.93,-0.2875,0.077878508
Q9BRP4,PAAF1,Proteasomal ATPase-associated factor 1,19.1525,19.03,-0.1225,0.077784465
Q8IVG5,SAMD9L,Sterile alpha motif domain-containing protein 9-like,19.915,19.79,-0.125,0.077647632
Q96CN7,ISOC1,Isochorismatase domain-containing protein 1,19.8475,19.7225,-0.125,0.077647632
O43861,ATP9B,Probable phospholipid-transporting ATPase IIB,19.9825,19.61,-0.3725,0.077644778
