SWPROT,Gene,description,AverageFC_Vehicle,AverageFC_LPS,LPS_Log2FC,pvalue_ttest1
Q9H1P3,OSBPL2,Oxysterol-binding protein-related protein 2,19.815,19.85,0.035,0.256007329
P31153,MAT2A,S-adenosylmethionine synthase isoform type-2,24.22,24.1675,-0.0525,0.215169943
P01031,C5,Complement C5,22.865,23.0325,0.1675,0.153034464
P43155,CRAT,Carnitine O-acetyltransferase,21.2325,21.295,0.0625,0.234374566
Q9UI08,EVL,Ena/VASP-like protein,22.89,22.7925,-0.0975,0.198991166
Q02878,RPL6,60S ribosomal protein L6,25.7225,25.7525,0.03,0.463813312
P14625,HSP90B1,Endoplasmin,27.18,27.2175,0.0375,0.270165468
Q3YEC7,RABL6,Rab-like protein 6,21.0025,21.1125,0.11,0.104794659
Q9P2E3,ZNFX1,NFX1-type zinc finger-containing protein 1,20.2625,20.34,0.0775,0.16012474
P01024,C3,Complement C3,24.755,24.9475,0.1925,0.129866234
P62495,ETF1,Eukaryotic peptide chain release factor subunit 1,23.3625,23.4375,0.075,0.070508181
P53041,PPP5C,Serine/threonine-protein phosphatase 5,22.0575,22.1225,0.065,0.274497932
Q9H9C1,VIPAS39,Spermatogenesis-defective protein 39 homolog,20.5975,20.65,0.0525,0.158510957
Q969J3,LOH12CR1,Loss of heterozygosity 12 chromosomal region 1 protein,19.0325,19.12,0.0875,0.087542249
Q9Y3C6,PPIL1,Peptidyl-prolyl cis-trans isomerase-like 1,20.945,20.9825,0.0375,0.444438085
Q9NWB6,ARGLU1,Arginine and glutamate-rich protein 1,21.405,21.4475,0.0425,0.155324805
Q8N0X4,CLYBL,"Citrate lyase subunit beta-like protein, mitochondrial",17.13,17.295,0.165,0.109168614
Q567U6,CCDC93,Coiled-coil domain-containing protein 93,22.5175,22.5825,0.065,0.225477879
Q9BSJ8,ESYT1,Extended synaptotagmin-1,24.05,24.1675,0.1175,0.06838615
Q9Y6M7,SLC4A7,Sodium bicarbonate cotransporter 3,18.3475,18.395,0.0475,0.479200365
Q4V328,GRIPAP1,GRIP1-associated protein 1,21.7925,21.8425,0.05,0.126514593
Q15006,EMC2,ER membrane protein complex subunit 2,19.61,19.6675,0.0575,0.241020197
Q5VTR2,RNF20,E3 ubiquitin-protein ligase BRE1A,21.5325,21.56,0.0275,0.502065842
Q5T2E6,C10orf76,UPF0668 protein C10orf76,20.605,20.65,0.045,0.334890456
Q96CP6,GRAMD1A,GRAM domain-containing protein 1A,17.635,17.88,0.245,0.089759745
P23786,CPT2,"Carnitine O-palmitoyltransferase 2, mitochondrial",22.5025,22.5625,0.06,0.295228937
Q13561,DCTN2,Dynactin subunit 2,23.2825,23.365,0.0825,0.226462281
Q8IY37,DHX37,Probable ATP-dependent RNA helicase DHX37,19.6425,19.67,0.0275,0.315395172
Q8TAD8,SNIP1,Smad nuclear-interacting protein 1,18.13,18.305,0.175,0.024736475
Q9Y5X1,SNX9,Sorting nexin-9,21.6575,21.8425,0.185,0.159067507
Q7Z2K6,ERMP1,Endoplasmic reticulum metallopeptidase 1,18.6375,18.77,0.1325,0.091044098
Q96GS4,C17orf59,Uncharacterized protein C17orf59,17.6775,17.8375,0.16,0.16478172
P13284,IFI30,Gamma-interferon-inducible lysosomal thiol reductase,23.705,23.575,-0.13,0.242826384
O75151,PHF2,Lysine-specific demethylase PHF2,19.6525,19.7775,0.125,0.095708925
Q96LW7,CARD19,Caspase recruitment domain-containing protein 19,18.53,18.635,0.105,0.38368632
Q96FS4,SIPA1,Signal-induced proliferation-associated protein 1,21.02,21.125,0.105,0.102728079
Q9UID3,VPS51,Vacuolar protein sorting-associated protein 51 homolog,20.22,20.2975,0.0775,0.21700967
O60293,ZFC3H1,Zinc finger C3H1 domain-containing protein,18.4125,18.625,0.2125,0.109336488
O00429,DNM1L,Dynamin-1-like protein,23.52,23.5575,0.0375,0.12816459
Q04837,SSBP1,"Single-stranded DNA-binding protein, mitochondrial",22.16,22.2375,0.0775,0.256529177
P62875,POLR2L,"DNA-directed RNA polymerases I, II, and III subunit RPABC5",20.5175,20.4625,-0.055,0.3921382
Q9Y2I8,WDR37,WD repeat-containing protein 37,20.8925,20.99,0.0975,0.076084301
P49662,CASP4,Caspase-4,21.1775,21.315,0.1375,0.161840124
Q6IN85,PPP4R3A,Serine/threonine-protein phosphatase 4 regulatory subunit 3A,21.0975,21.1475,0.05,0.206164719
Q8WUM0,NUP133,Nuclear pore complex protein Nup133,21.6475,21.725,0.0775,0.113447052
Q93008,USP9X,Probable ubiquitin carboxyl-terminal hydrolase FAF-X,23.4025,23.4625,0.06,0.10544431
P50613,CDK7,Cyclin-dependent kinase 7,18.33,18.42,0.09,0.225538135
Q7Z5L9,IRF2BP2,Interferon regulatory factor 2-binding protein 2,20.6475,20.6,-0.0475,0.26748948
Q13257,MAD2L1,Mitotic spindle assembly checkpoint protein MAD2A,17.7375,17.835,0.0975,0.198991166
Q9NQ75,CASS4,Cas scaffolding protein family member 4,20.165,19.9675,-0.1975,0.418013121
Q9BQE5,APOL2,Apolipoprotein L2,20.7125,20.7575,0.045,0.238796041
P32519,ELF1,ETS-related transcription factor Elf-1,19.8125,19.87,0.0575,0.218503421
Q13393,PLD1,Phospholipase D1,20.6475,20.7375,0.09,0.287458592
P54709,ATP1B3,Sodium/potassium-transporting ATPase subunit beta-3,24.9075,24.8225,-0.085,0.249394867
Q86TI0,TBC1D1,TBC1 domain family member 1,20.905,20.9775,0.0725,0.179029629
Q68CP4,HGSNAT,Heparan-alpha-glucosaminide N-acetyltransferase,17.3725,17.49,0.1175,0.060164516
P17947,SPI1,Transcription factor PU.1,21.815,21.6775,-0.1375,0.227787765
Q8TEU7,RAPGEF6,Rap guanine nucleotide exchange factor 6,19.6425,19.72,0.0775,0.14862225
O94979,SEC31A,Protein transport protein Sec31A,23.73,23.8,0.07,0.119547877
O43752,STX6,Syntaxin-6,19.4525,19.56,0.1075,0.157581912
Q9H4X1,RGCC,Regulator of cell cycle RGCC,21.3425,21.215,-0.1275,0.382124615
O95150,TNFSF15,Tumor necrosis factor ligand superfamily member 15,19.17,19.4975,0.3275,0.155701129
O96011,PEX11B,Peroxisomal membrane protein 11B,20.0125,20.1125,0.1,0.197970642
P42765,ACAA2,"3-ketoacyl-CoA thiolase, mitochondrial",24.025,24.075,0.05,0.472226568
Q4G0F5,VPS26B,Vacuolar protein sorting-associated protein 26B,20.245,20.3425,0.0975,0.103501051
P11279,LAMP1,Lysosome-associated membrane glycoprotein 1,23.5075,23.57,0.0625,0.180158554
P23141,CES1,Liver carboxylesterase 1,25.2475,25.445,0.1975,0.200733535
P35232,PHB,Prohibitin,23.3725,23.4275,0.055,0.154268983
Q9P0J1,PDP1,"[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 1, mitochondrial",20.355,20.495,0.14,0.040519326
Q04760,GLO1,Lactoylglutathione lyase,22.9475,23.03,0.0825,0.229465776
P32418,SLC8A1,Sodium/calcium exchanger 1,17.87,17.9575,0.0875,0.281977743
P14868,DARS,"Aspartate--tRNA ligase, cytoplasmic",23.63,23.7075,0.0775,0.240745878
Q13439,GOLGA4,Golgin subfamily A member 4,21.11,21.1775,0.0675,0.162350601
P61088,UBE2N,Ubiquitin-conjugating enzyme E2 N,22.8225,22.805,-0.0175,0.573716702
Q13033,STRN3,Striatin-3,19.64,19.755,0.115,0.144144332
O94819,KBTBD11,Kelch repeat and BTB domain-containing protein 11,20.635,20.7175,0.0825,0.17845857
Q9Y3B4,SF3B6,Splicing factor 3B subunit 6,21.365,21.435,0.07,0.041559737
Q13769,THOC5,THO complex subunit 5 homolog,20.9525,21,0.0475,0.225171225
Q6I9Y2,THOC7,THO complex subunit 7 homolog,18.9525,19.05,0.0975,0.078232785
Q9H1B7,IRF2BPL,Interferon regulatory factor 2-binding protein-like,20.925,20.89,-0.035,0.321946221
O95551,TDP2,Tyrosyl-DNA phosphodiesterase 2,18.09,18.1375,0.0475,0.466248306
Q9H7L9,SUDS3,Sin3 histone deacetylase corepressor complex component SDS3,19.5875,19.805,0.2175,0.42157509
P61604,HSPE1,"10 kDa heat shock protein, mitochondrial",24.705,24.7375,0.0325,0.317924341
Q9Y2L1,DIS3,Exosome complex exonuclease RRP44,21.8225,21.87,0.0475,0.145385527
P54619,PRKAG1,5'-AMP-activated protein kinase subunit gamma-1,21.31,21.2775,-0.0325,0.534383234
Q13907,IDI1,Isopentenyl-diphosphate Delta-isomerase 1,18.8025,18.8975,0.095,0.51366376
O43678,NDUFA2,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2,21.2175,21.2925,0.075,0.429380146
O00268,TAF4,Transcription initiation factor TFIID subunit 4,18.4525,18.53,0.0775,0.085549121
Q8N3P4,VPS8,Vacuolar protein sorting-associated protein 8 homolog,20.57,20.66,0.09,0.140989199
Q7Z4W1,DCXR,L-xylulose reductase,22.5425,22.635,0.0925,0.171533449
O75821,EIF3G,Eukaryotic translation initiation factor 3 subunit G,23.1375,23.2225,0.085,0.23414292
P53367,ARFIP1,Arfaptin-1,22.0975,22.1275,0.03,0.619198658
P52948,NUP98,Nuclear pore complex protein Nup98-Nup96,22.51,22.58,0.07,0.142071423
Q9BRF8,CPPED1,Serine/threonine-protein phosphatase CPPED1,22.72,22.7675,0.0475,0.408553868
P24941,CDK2,Cyclin-dependent kinase 2,18.5425,18.6725,0.13,0.127152442
Q96DM3,C18orf8,Uncharacterized protein C18orf8,18.2675,18.3625,0.095,0.302177367
O14727,APAF1,Apoptotic protease-activating factor 1,23.055,23.1175,0.0625,0.25881955
P61978,HNRNPK,Heterogeneous nuclear ribonucleoprotein K,26.3775,26.42,0.0425,0.576239966
Q14203,DCTN1,Dynactin subunit 1,23.17,23.235,0.065,0.183568043
Q8TEY7,USP33,Ubiquitin carboxyl-terminal hydrolase 33,19.96,20.01,0.05,0.220504559
Q13098,GPS1,COP9 signalosome complex subunit 1,22.3275,22.365,0.0375,0.434860782
Q5T5C0,STXBP5,Syntaxin-binding protein 5,18.7925,18.94,0.1475,0.429134757
Q8TB03,CXorf38,Uncharacterized protein CXorf38,20.1275,20.1925,0.065,0.051148166
P48047,ATP5O,"ATP synthase subunit O, mitochondrial",24.22,24.2675,0.0475,0.116882886
P51149,RAB7A,Ras-related protein Rab-7a,24.7925,24.905,0.1125,0.076380623
Q8IVH8,MAP4K3,Mitogen-activated protein kinase kinase kinase kinase 3,18.87,18.96,0.09,0.500074957
Q9NZ32,ACTR10,Actin-related protein 10,20.8975,20.9275,0.03,0.405771569
O15120,AGPAT2,1-acyl-sn-glycerol-3-phosphate acyltransferase beta,19.855,19.93,0.075,0.170168913
P12429,ANXA3,Annexin A3,18.305,18.4075,0.1025,0.034591712
P54136,RARS,"Arginine--tRNA ligase, cytoplasmic",23.6825,23.7225,0.04,0.34554735
Q9Y3A4,RRP7A,Ribosomal RNA-processing protein 7 homolog A,18.9725,18.93,-0.0425,0.627906302
Q8WTT2,NOC3L,Nucleolar complex protein 3 homolog,18.5425,18.685,0.1425,0.174256791
P01111,NRAS,GTPase NRas,21.3025,21.4025,0.1,0.096701534
Q12824,SMARCB1,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily B member 1,20.42,20.505,0.085,0.367295588
P27797,CALR,Calreticulin,26.6025,26.655,0.0525,0.220295093
Q86VZ5,SGMS1,Phosphatidylcholine:ceramide cholinephosphotransferase 1,18.6625,18.735,0.0725,0.12631992
O43861,ATP9B,Probable phospholipid-transporting ATPase IIB,19.9825,19.93,-0.0525,0.291402917
P42345,MTOR,Serine/threonine-protein kinase mTOR,21.89,21.9425,0.0525,0.068903509
Q12986,NFX1,Transcriptional repressor NF-X1,17.7375,17.79,0.0525,0.188120404
P09622,DLD,"Dihydrolipoyl dehydrogenase, mitochondrial",24.035,24.1225,0.0875,0.19015055
Q63HN8,RNF213,E3 ubiquitin-protein ligase RNF213,24.4875,24.5625,0.075,0.170168913
Q9BUT1,BDH2,3-hydroxybutyrate dehydrogenase type 2,19.4375,19.4725,0.035,0.442763139
P40939,HADHA,"Trifunctional enzyme subunit alpha, mitochondrial",25.6925,25.755,0.0625,0.239442599
A0FGR8,ESYT2,Extended synaptotagmin-2,22.6325,22.7325,0.1,0.090719932
Q02978,SLC25A11,Mitochondrial 2-oxoglutarate/malate carrier protein,23.19,23.275,0.085,0.120341765
Q8NBS9,TXNDC5,Thioredoxin domain-containing protein 5,23.5075,23.6,0.0925,0.170572343
P62266,RPS23,40S ribosomal protein S23,23.5575,23.585,0.0275,0.578150765
P49720,PSMB3,Proteasome subunit beta type-3,23.0575,23.1325,0.075,0.218945778
Q92922,SMARCC1,SWI/SNF complex subunit SMARCC1,21.7325,21.82,0.0875,0.170318457
P26572,MGAT1,"Alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase",21.595,21.55,-0.045,0.197027586
Q7Z460,CLASP1,CLIP-associating protein 1,20.5325,20.5925,0.06,0.2434096
Q9H936,SLC25A22,Mitochondrial glutamate carrier 1,20.8675,20.9,0.0325,0.21215591
P02774,GC,Vitamin D-binding protein,18.5275,18.71,0.1825,0.150973213
O14602,EIF1AY,"Eukaryotic translation initiation factor 1A, Y-chromosomal",22.365,22.4275,0.0625,0.207572198
Q9UBT2,UBA2,SUMO-activating enzyme subunit 2,23.0625,23.11,0.0475,0.352589366
Q6S8J3,POTEE,POTE ankyrin domain family member E,21.11,21.1625,0.0525,0.306474881
P29466,CASP1,Caspase-1,24.5275,24.605,0.0775,0.402709698
P55735,SEC13,Protein SEC13 homolog,22.27,22.4075,0.1375,0.040435152
Q8IVD9,NUDCD3,NudC domain-containing protein 3,19.075,19.2025,0.1275,0.030071352
Q9H0U3,MAGT1,Magnesium transporter protein 1,21.8875,21.9775,0.09,0.308068009
Q16666,IFI16,Gamma-interferon-inducible protein 16,23.59,23.65,0.06,0.2379857
Q9UKK6,NXT1,NTF2-related export protein 1,18.5725,18.7025,0.13,0.31188494
Q8NHL6,LILRB1,Leukocyte immunoglobulin-like receptor subfamily B member 1,21.6675,21.6275,-0.04,0.22775677
Q9BRT2,UQCC2,Ubiquinol-cytochrome-c reductase complex assembly factor 2,19.135,19.24,0.105,0.185278688
P27701,CD82,CD82 antigen,20.4025,20.67,0.2675,0.012113891
O00182,LGALS9,Galectin-9,22.1875,22.105,-0.0825,0.385876692
Q9Y4E1,FAM21C,WASH complex subunit FAM21C,19.2475,19.2975,0.05,0.144688168
Q9NVI7,ATAD3A,ATPase family AAA domain-containing protein 3A,22.9825,23.055,0.0725,0.225671284
Q13315,ATM,Serine-protein kinase ATM,22.4025,22.45,0.0475,0.125234804
Q9C037,TRIM4,E3 ubiquitin-protein ligase TRIM4,20.11,20.305,0.195,0.178535434
P11161,EGR2,E3 SUMO-protein ligase EGR2,21.32,21.2625,-0.0575,0.565064755
Q9ULZ3,PYCARD,Apoptosis-associated speck-like protein containing a CARD,23.995,24.015,0.02,0.669515009
Q96T37,RBM15,Putative RNA-binding protein 15,20.8275,20.8975,0.07,0.202118443
P09917,ALOX5,Arachidonate 5-lipoxygenase,22.6875,22.7875,0.1,0.038486445
Q15208,STK38,Serine/threonine-protein kinase 38,21.0375,21.085,0.0475,0.47234396
Q15233,NONO,Non-POU domain-containing octamer-binding protein,25.0525,25.08,0.0275,0.295337863
P57678,GEMIN4,Gem-associated protein 4,19.4575,19.5675,0.11,0.046016404
Q96I99,SUCLG2,"Succinyl-CoA ligase [GDP-forming] subunit beta, mitochondrial",22.8775,22.95,0.0725,0.263469488
P31689,DNAJA1,DnaJ homolog subfamily A member 1,22.9575,23.075,0.1175,0.067640212
Q9ULX3,NOB1,RNA-binding protein NOB1,19.1,19.2,0.1,0.201722966
Q9NSC5,HOMER3,Homer protein homolog 3,20.58,20.665,0.085,0.151729999
Q13330,MTA1,Metastasis-associated protein MTA1,18.725,18.8175,0.0925,0.017306004
Q9UNF0,PACSIN2,Protein kinase C and casein kinase substrate in neurons protein 2,23.605,23.57,-0.035,0.109792028
Q9NXD2,MTMR10,Myotubularin-related protein 10,18.555,18.74,0.185,0.225374458
Q9H267,VPS33B,Vacuolar protein sorting-associated protein 33B,21.61,21.7375,0.1275,0.192397745
Q92888,ARHGEF1,Rho guanine nucleotide exchange factor 1,23.945,24,0.055,0.313786282
P49768,PSEN1,Presenilin-1,18.84,18.9725,0.1325,0.010227252
Q8TCT9,HM13,Minor histocompatibility antigen H13,24.21,24.16,-0.05,0.151717955
Q9NYH9,UTP6,U3 small nucleolar RNA-associated protein 6 homolog,19.6175,19.5875,-0.03,0.344064805
P50402,EMD,Emerin,21.9025,21.945,0.0425,0.387151233
Q16891,IMMT,MI,24.2375,24.2875,0.05,0.325424508
P14735,IDE,Insulin-degrading enzyme,21.9575,22.005,0.0475,0.248562203
Q96F86,EDC3,Enhancer of mRNA-decapping protein 3,19.22,19.375,0.155,0.145687643
Q9Y624,F11R,Junctional adhesion molecule A,19.065,18.98,-0.085,0.042461324
O75190,DNAJB6,DnaJ homolog subfamily B member 6,20.625,20.8375,0.2125,0.084773818
Q96HN2,AHCYL2,Adenosylhomocysteinase 3,18.905,18.9725,0.0675,0.080230488
P16152,CBR1,Carbonyl reductase [NADPH] 1,22.945,22.975,0.03,0.324181851
Q9HBI0,PARVG,Gamma-parvin,21.695,21.7275,0.0325,0.273138626
P00390,GSR,"Glutathione reductase, mitochondrial",24.835,24.86,0.025,0.452210902
Q14764,MVP,Major vault protein,24.4925,24.545,0.0525,0.271177951
Q8TEX9,IPO4,Importin-4,19.84,19.91,0.07,0.079355577
P62314,SNRPD1,Small nuclear ribonucleoprotein Sm D1,20.935,21.06,0.125,0.019427073
Q8NFH3,NUP43,Nucleoporin Nup43,17.685,17.79,0.105,0.082812421
Q9NVC3,SLC38A7,Putative sodium-coupled neutral amino acid transporter 7,17.4725,17.6375,0.165,0.297458324
O15027,SEC16A,Protein transport protein Sec16A,21.745,21.835,0.09,0.164543212
Q8TE82,SH3TC1,SH3 domain and tetratricopeptide repeat-containing protein 1,20.6375,21.0225,0.385,0.191260666
P29218,IMPA1,Inositol monophosphatase 1,21.27,21.325,0.055,0.124542245
P61011,SRP54,Signal recognition particle 54 kDa protein,23.3325,23.38,0.0475,0.47234396
Q9NQG6,MIEF1,Mitochondrial dynamics protein MID51,17.735,17.8425,0.1075,0.029740306
Q6NUQ4,TMEM214,Transmembrane protein 214,21.84,21.88,0.04,0.36342607
O75396,SEC22B,Vesicle-trafficking protein SEC22b,22.4575,22.5,0.0425,0.477463314
O15254,ACOX3,Peroxisomal acyl-coenzyme A oxidase 3,20.1325,20.2275,0.095,0.13845226
Q15287,RNPS1,RNA-binding protein with serine-rich domain 1,20.9475,21.08,0.1325,0.051391628
Q13523,PRPF4B,Serine/threonine-protein kinase PRP4 homolog,22.3,22.3625,0.0625,0.159020896
Q8WYP5,AHCTF1,Protein ELYS,21.7325,21.785,0.0525,0.164648833
Q96KG9,SCYL1,N-terminal kinase-like protein,21.345,21.425,0.08,0.024978975
Q9NW81,ATP5SL,ATP synthase subunit s-like protein,17.0525,17.1775,0.125,0.166038928
O43252,PAPSS1,Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 1,23.27,23.2275,-0.0425,0.238717634
Q7Z401,DENND4A,C-myc promoter-binding protein,20.195,20.3425,0.1475,0.024356504
Q9BU76,MMTAG2,Multiple myeloma tumor-associated protein 2,19.2525,19.335,0.0825,0.275182956
Q9UKF7,PITPNC1,Cytoplasmic phosphatidylinositol transfer protein 1,19.4625,19.4375,-0.025,0.557283764
O75976,CPD,Carboxypeptidase D,19.7825,19.9125,0.13,0.249991764
Q6NUT3,MFSD12,Major facilitator superfamily domain-containing protein 12,19.32,18.9025,-0.4175,0.283676056
Q8IUR7,ARMC8,Armadillo repeat-containing protein 8,21.45,21.4925,0.0425,0.455568597
Q9P2X0,DPM3,Dolichol-phosphate mannosyltransferase subunit 3,17.0075,16.8475,-0.16,0.376655867
O00471,EXOC5,Exocyst complex component 5,21.005,21.105,0.1,0.261410857
P62072,TIMM10,Mitochondrial import inner membrane translocase subunit Tim10,18.3025,18.385,0.0825,0.161492219
Q9HC98,NEK6,Serine/threonine-protein kinase Nek6,21.4325,21.1175,-0.315,0.236007757
Q15437,SEC23B,Protein transport protein Sec23B,22.345,22.41,0.065,0.42473102
Q9C0H2,TTYH3,Protein tweety homolog 3,19.7925,19.5575,-0.235,0.065213475
Q6PL24,TMED8,Protein TMED8,18.7975,18.9075,0.11,0.2511825
Q9H553,ALG2,"Alpha-1,3/1,6-mannosyltransferase ALG2",20.4775,20.55,0.0725,0.013349209
Q6NTF9,RHBDD2,Rhomboid domain-containing protein 2,18.235,18.04,-0.195,0.19076641
Q14254,FLOT2,Flotillin-2,22.3825,22.435,0.0525,0.418987844
Q16740,CLPP,"ATP-dependent Clp protease proteolytic subunit, mitochondrial",20.3625,20.46,0.0975,0.190969656
Q92900,UPF1,Regulator of nonsense transcripts 1,23.6425,23.675,0.0325,0.313336895
Q01433,AMPD2,AMP deaminase 2,22.875,22.9175,0.0425,0.387151233
Q9Y678,COPG1,Coatomer subunit gamma-1,24.1475,24.1925,0.045,0.185595708
Q92769,HDAC2,Histone deacetylase 2,21.7925,21.84,0.0475,0.287551617
P13073,COX4I1,"Cytochrome c oxidase subunit 4 isoform 1, mitochondrial",23.6425,23.7075,0.065,0.051148166
Q96MW1,CCDC43,Coiled-coil domain-containing protein 43,20.1,20.185,0.085,0.10573479
P35250,RFC2,Replication factor C subunit 2,20.835,20.97,0.135,0.132913589
O14662,STX16,Syntaxin-16,19.665,19.73,0.065,0.203509353
P12268,IMPDH2,Inosine-5'-monophosphate dehydrogenase 2,23.78,23.8225,0.0425,0.169341109
O00571,DDX3X,ATP-dependent RNA helicase DDX3X,24.6,24.6475,0.0475,0.040942738
O43920,NDUFS5,NADH dehydrogenase [ubiquinone] iron-sulfur protein 5,20.5825,20.645,0.0625,0.411146216
P14174,MIF,Macrophage migration inhibitory factor,20.605,20.5075,-0.0975,0.018752724
P09467,FBP1,"Fructose-1,6-bisphosphatase 1",24.9575,24.885,-0.0725,0.35998065
Q96CM8,ACSF2,"Acyl-CoA synthetase family member 2, mitochondrial",20.3925,20.485,0.0925,0.11439636
Q6PJT7,ZC3H14,Zinc finger CCCH domain-containing protein 14,19.68,19.8575,0.1775,0.324641748
P10599,TXN,Thioredoxin,25.6575,25.7225,0.065,0.427468653
P27449,ATP6V0C,V-type proton ATPase 16 kDa proteolipid subunit,20.805,20.8425,0.0375,0.322305362
Q13283,G3BP1,Ras GTPase-activating protein-binding protein 1,22.55,22.63,0.08,0.058207291
Q15904,ATP6AP1,V-type proton ATPase subunit S1,22.1,22,-0.1,0.153454083
Q96Q11,TRNT1,"CCA tRNA nucleotidyltransferase 1, mitochondrial",21.2875,21.35,0.0625,0.225717285
Q9UBS4,DNAJB11,DnaJ homolog subfamily B member 11,22.6775,22.7075,0.03,0.2379857
P48553,TRAPPC10,Trafficking protein particle complex subunit 10,19.9075,20,0.0925,0.135127744
P30419,NMT1,Glycylpeptide N-tetradecanoyltransferase 1,22.0925,22.16,0.0675,0.183865839
Q9H0F6,SHARPIN,Sharpin,18.8775,18.9325,0.055,0.192040786
O43704,SULT1B1,Sulfotransferase family cytosolic 1B member 1,19.5025,19.56,0.0575,0.55960321
P31948,STIP1,Stress-induced-phosphoprotein 1,26.1075,26.02,-0.0875,0.035352847
Q6V1X1,DPP8,Dipeptidyl peptidase 8,18.61,18.795,0.185,0.189498204
Q75N03,CBLL1,E3 ubiquitin-protein ligase Hakai,19.0475,19.155,0.1075,0.375212723
Q9H6S0,YTHDC2,Probable ATP-dependent RNA helicase YTHDC2,19.455,19.52,0.065,0.370451729
P46777,RPL5,60S ribosomal protein L5,25.8925,25.905,0.0125,0.746056122
Q96TA1,FAM129B,Niban-like protein 1,24.4925,24.4475,-0.045,0.006056849
Q01105,SET,Protein SET,23.82,23.9375,0.1175,0.056420996
Q969X6,CIRH1A,Cirhin,19.9875,20.0025,0.015,0.553437302
P61019,RAB2A,Ras-related protein Rab-2A,23.6425,23.715,0.0725,0.115562225
Q9UMZ2,SYNRG,Synergin gamma,20.0975,20.1475,0.05,0.524642903
Q01543,FLI1,Friend leukemia integration 1 transcription factor,18.0525,18.1,0.0475,0.539137102
P60520,GABARAPL2,Gamma-aminobutyric acid receptor-associated protein-like 2,22.53,22.615,0.085,0.296366698
P40121,CAPG,Macrophage-capping protein,24.505,24.55,0.045,0.351860544
Q15910,EZH2,Histone-lysine N-methyltransferase EZH2,18.83,19.0325,0.2025,0.349043195
Q5T1R4,HIVEP3,Transcription factor HIVEP3,18.0825,18.2075,0.125,0.259208661
P07099,EPHX1,Epoxide hydrolase 1,21.755,21.855,0.1,0.108468778
Q9P2F8,SIPA1L2,Signal-induced proliferation-associated 1-like protein 2,18.51,18.46,-0.05,0.472226568
Q9UJV9,DDX41,Probable ATP-dependent RNA helicase DDX41,21.5125,21.5675,0.055,0.118318074
Q99973,TEP1,Telomerase protein component 1,19.755,19.845,0.09,0.188493433
P00387,CYB5R3,NADH-cytochrome b5 reductase 3,23.095,23.1975,0.1025,0.077586622
Q9UBW8,COPS7A,COP9 signalosome complex subunit 7a,19.905,19.8625,-0.0425,0.392901174
P62633,CNBP,Cellular nucleic acid-binding protein,21.93,21.8525,-0.0775,0.018313351
P84103,SRSF3,Serine/arginine-rich splicing factor 3,24.5275,24.6325,0.105,0.008656534
Q9Y5Q9,GTF3C3,General transcription factor 3C polypeptide 3,19.8825,19.9675,0.085,0.237808734
O76031,CLPX,"ATP-dependent Clp protease ATP-binding subunit clpX-like, mitochondrial",20.7475,20.705,-0.0425,0.245882227
Q9UI26,IPO11,Importin-11,20.43,20.4625,0.0325,0.261998409
Q9NQZ7,ENTPD7,Ectonucleoside triphosphate diphosphohydrolase 7,17.74,17.9175,0.1775,0.214314227
P13686,ACP5,Tartrate-resistant acid phosphatase type 5,21.1,20.78,-0.32,0.107608683
Q4ZIN3,TMEM259,Membralin,16.735,16.6375,-0.0975,0.416838627
Q9Y6M1,IGF2BP2,Insulin-like growth factor 2 mRNA-binding protein 2,20.425,20.5,0.075,0.412495134
Q9P031,CCDC59,Thyroid transcription factor 1-associated protein 26,17.9625,18.07,0.1075,0.035779433
Q9Y5A7,NUB1,NEDD8 ultimate buster 1,20.0075,20.05,0.0425,0.462289383
P25789,PSMA4,Proteasome subunit alpha type-4,24.125,24.16,0.035,0.414864703
Q9UNE7,STUB1,E3 ubiquitin-protein ligase CHIP,18.1375,18.19,0.0525,0.534256571
Q96AX2,RAB37,Ras-related protein Rab-37,19.9425,20.0275,0.085,0.222847747
Q8IU81,IRF2BP1,Interferon regulatory factor 2-binding protein 1,17.5325,17.6875,0.155,0.236377374
Q9P0J0,NDUFA13,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13,20.6125,20.6825,0.07,0.290063434
P24385,CCND1,G1/S-specific cyclin-D1,17.5775,17.7425,0.165,0.036190807
Q13586,STIM1,Stromal interaction molecule 1,21.1575,21.26,0.1025,0.178837042
Q9Y2X9,ZNF281,Zinc finger protein 281,17.785,17.8925,0.1075,0.422428241
Q9HAI6,CXorf21,Uncharacterized protein CXorf21,18.015,17.925,-0.09,0.028764049
O15117,FYB,FYN-binding protein,21.8025,21.87,0.0675,0.368678161
Q9NZ01,TECR,Very-long-chain enoyl-CoA reductase,22.1125,22.185,0.0725,0.174416974
Q9BRR6,ADPGK,ADP-dependent glucokinase,21.77,21.8025,0.0325,0.384372874
P02792,FTL,Ferritin light chain,25.0325,24.8425,-0.19,0.54329163
P07996,THBS1,Thrombospondin-1,21.2775,21.59,0.3125,0.040112054
